Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000400, 0.000004, 
20, 0.000005, 0.000057, 0.000003, 
20, 0.000008, 0.000129, 0.000001, 
20, 0.000067, 0.002960, 6.283181, 
20, 0.000174, 0.005358, 6.283174, 
20, 0.000328, 0.007715, 6.283164, 
20, 0.000538, 0.010501, 6.283151, 
20, 0.000813, 0.013716, 6.283133, 
20, 0.001160, 0.017359, 6.283110, 
20, 0.001589, 0.021431, 6.283082, 
20, 0.002107, 0.025931, 6.283048, 
20, 0.002724, 0.030860, 6.283008, 
20, 0.003449, 0.036217, 6.282960, 
20, 0.004289, 0.042003, 6.282905, 
20, 0.005253, 0.048217, 6.282842, 
20, 0.006350, 0.054859, 6.282770, 
20, 0.007589, 0.061929, 6.282689, 
20, 0.008977, 0.069428, 6.282599, 
20, 0.010525, 0.077354, 6.282498, 
20, 0.012239, 0.085709, 6.282386, 
20, 0.014128, 0.094491, 6.282262, 
20, 0.016202, 0.103700, 6.282127, 
20, 0.018469, 0.113337, 6.281979, 
20, 0.020937, 0.123402, 6.281818, 
20, 0.023615, 0.133893, 6.281644, 
20, 0.026511, 0.144811, 6.281456, 
20, 0.029634, 0.156157, 6.281252, 
20, 0.032993, 0.167928, 6.281034, 
20, 0.036596, 0.180126, 6.280800, 
20, 0.040451, 0.192749, 6.280550, 
20, 0.044567, 0.205799, 6.280284, 
20, 0.048952, 0.219273, 6.280000, 
20, 0.053615, 0.233173, 6.279699, 
20, 0.058565, 0.247497, 6.279379, 
20, 0.063810, 0.262245, 6.279041, 
20, 0.069359, 0.277417, 6.278684, 
20, 0.075219, 0.293013, 6.278307, 
20, 0.081400, 0.309032, 6.277910, 
20, 0.087909, 0.325473, 6.277493, 
20, 0.094756, 0.342336, 6.277055, 
20, 0.101948, 0.359621, 6.276596, 
20, 0.109495, 0.377326, 6.276115, 
20, 0.117404, 0.395452, 6.275612, 
20, 0.125684, 0.413998, 6.275087, 
20, 0.134343, 0.432962, 6.274538, 
20, 0.143390, 0.452345, 6.273967, 
20, 0.152833, 0.472146, 6.273372, 
20, 0.162680, 0.492363, 6.272753, 
20, 0.172940, 0.512997, 6.272110, 
20, 0.183621, 0.534046, 6.271442, 
20, 0.194731, 0.555510, 6.270750, 
20, 0.206279, 0.577387, 6.270033, 
20, 0.218272, 0.599677, 6.269290, 
20, 0.230720, 0.622378, 6.268522, 
20, 0.243630, 0.645491, 6.267728, 
20, 0.257010, 0.669013, 6.266908, 
20, 0.270869, 0.692944, 6.266062, 
20, 0.285214, 0.717282, 6.265190, 
20, 0.300055, 0.742026, 6.264291, 
20, 0.315398, 0.767176, 6.263366, 
20, 0.331253, 0.792730, 6.262415, 
20, 0.347627, 0.818686, 6.261436, 
20, 0.364528, 0.845043, 6.260432, 
20, 0.381964, 0.871801, 6.259400, 
20, 0.399943, 0.898957, 6.258342, 
20, 0.418473, 0.926509, 6.257258, 
20, 0.437562, 0.954458, 6.256147, 
20, 0.457218, 0.982800, 6.255010, 
20, 0.477449, 1.011534, 6.253846, 
20, 0.498262, 1.040659, 6.252657, 
20, 0.519665, 1.070173, 6.251442, 
20, 0.541667, 1.100073, 6.250201, 
20, 0.564274, 1.130359, 6.248935, 
20, 0.587495, 1.161028, 6.247644, 
20, 0.611336, 1.192079, 6.246329, 
20, 0.635806, 1.223509, 6.244990, 
20, 0.660913, 1.255316, 6.243627, 
20, 0.686663, 1.287498, 6.242240, 
20, 0.713064, 1.320054, 6.240832, 
20, 0.740123, 1.352980, 6.239401, 
20, 0.767849, 1.386274, 6.237948, 
20, 0.796248, 1.419935, 6.236475, 
20, 0.825327, 1.453960, 6.234982, 
20, 0.855094, 1.488345, 6.233469, 
20, 0.885555, 1.523090, 6.231938, 
20, 0.916719, 1.558190, 6.230389, 
20, 0.948592, 1.593644, 6.228823, 
20, 0.981181, 1.629449, 6.227242, 
20, 1.014493, 1.665602, 6.225646, 
20, 1.048535, 1.702100, 6.224036, 
20, 1.083314, 1.738941, 6.222414, 
20, 1.118836, 1.776120, 6.220780, 
20, 1.155109, 1.813636, 6.219136, 
20, 1.192139, 1.851486, 6.217483, 
20, 1.229932, 1.889665, 6.215823, 
20, 1.268496, 1.928171, 6.214157, 
20, 1.307836, 1.967002, 6.212487, 
20, 1.347959, 2.006152, 6.210813, 
20, 1.388871, 2.045619, 6.209138, 
20, 1.430579, 2.085400, 6.207464, 
20, 1.473085, 2.125283, 6.205791, 
20, 1.516386, 2.165056, 6.204124, 
20, 1.560480, 2.204718, 6.202462, 
20, 1.605366, 2.244267, 6.200810, 
20, 1.651040, 2.283701, 6.199169, 
20, 1.697500, 2.323016, 6.197541, 
20, 1.744744, 2.362212, 6.195929, 
20, 1.792770, 2.401287, 6.194335, 
20, 1.841575, 2.440238, 6.192762, 
20, 1.891156, 2.479062, 6.191212, 
20, 1.941511, 2.517760, 6.189687, 
20, 1.992638, 2.556327, 6.188190, 
20, 2.044533, 2.594762, 6.186725, 
20, 2.097194, 2.633064, 6.185292, 
20, 2.150619, 2.671229, 6.183895, 
20, 2.204804, 2.709257, 6.182537, 
20, 2.259747, 2.747145, 6.181221, 
20, 2.315445, 2.784891, 6.179948, 
20, 2.371894, 2.822493, 6.178723, 
20, 2.429093, 2.859949, 6.177548, 
20, 2.487038, 2.897256, 6.176425, 
20, 2.545727, 2.934414, 6.175358, 
20, 2.605155, 2.971420, 6.174350, 
20, 2.665321, 3.008272, 6.173403, 
20, 2.726220, 3.044968, 6.172521, 
20, 2.787850, 3.081505, 6.171708, 
20, 2.850208, 3.117882, 6.170965, 
20, 2.913290, 3.154097, 6.170296, 
20, 2.977093, 3.190147, 6.169705, 
20, 3.041613, 3.226030, 6.169195, 
20, 3.106848, 3.261744, 6.168768, 
20, 3.172794, 3.297288, 6.168429, 
20, 3.239447, 3.332657, 6.168181, 
20, 3.306804, 3.367852, 6.168027, 
20, 3.374861, 3.402868, 6.167971, 
20, 3.443615, 3.437705, 6.168016, 
20, 3.513063, 3.472359, 6.168166, 
20, 3.583199, 3.506828, 6.168424, 
20, 3.654021, 3.541110, 6.168795, 
20, 3.725525, 3.575202, 6.169281, 
20, 3.797707, 3.609103, 6.169887, 
20, 3.870564, 3.642809, 6.170616, 
20, 3.944090, 3.676318, 6.171472, 
20, 4.018283, 3.709628, 6.172460, 
20, 4.093137, 3.742737, 6.173583, 
20, 4.168650, 3.775642, 6.174845, 
20, 4.244817, 3.808340, 6.176250, 
20, 4.321634, 3.840829, 6.177802, 
20, 4.399096, 3.873108, 6.179506, 
20, 4.477199, 3.905174, 6.181365, 
20, 4.555936, 3.936829, 6.183384, 
20, 4.635293, 3.967880, 6.185567, 
20, 4.715260, 3.998327, 6.187917, 
20, 4.795823, 4.028171, 6.190440, 
20, 4.876972, 4.057414, 6.193137, 
20, 4.958693, 4.086058, 6.196015, 
20, 5.040975, 4.114105, 6.199075, 
20, 5.123806, 4.141558, 6.202323, 
20, 5.207174, 4.168418, 6.205762, 
20, 5.291068, 4.194691, 6.209395, 
20, 5.375476, 4.220378, 6.213227, 
20, 5.460385, 4.245484, 6.217261, 
20, 5.545786, 4.270015, 6.221500, 
20, 5.631665, 4.293974, 6.225947, 
20, 5.718013, 4.317369, 6.230606, 
20, 5.804817, 4.340206, 6.235481, 
20, 5.892067, 4.362491, 6.240573, 
20, 5.979751, 4.384234, 6.245886, 
20, 6.067860, 4.405442, 6.251422, 
20, 6.156383, 4.426126, 6.257184, 
20, 6.245308, 4.446295, 6.263175, 
20, 6.334628, 4.465963, 6.269395, 
20, 6.424331, 4.485141, 6.275847, 
20, 6.514407, 4.503843, 6.282532, 
20, 6.646050, 6.582124, 6.248991, 
20, 6.783700, 6.882527, 6.210203, 
20, 6.922726, 6.951296, 6.170643, 
20, 7.062857, 7.006546, 6.130569, 
20, 7.203793, 7.046762, 6.090266, 
20, 7.345211, 7.070909, 6.050043, 
20, 7.486781, 7.078530, 6.010215, 
20, 7.628177, 7.069791, 5.971097, 
