Delta Time, Position, Velocity, Heading, 
20, 0.000004, 0.000400, 6.283169, 
20, 0.000008, 0.000193, 6.283173, 
20, 0.000017, 0.000435, 6.283182, 
20, 0.000050, 0.001669, 0.000012, 
20, 0.000126, 0.003791, 0.000035, 
20, 0.000235, 0.005459, 0.000069, 
20, 0.000384, 0.007431, 0.000116, 
20, 0.000578, 0.009706, 0.000177, 
20, 0.000823, 0.012284, 0.000253, 
20, 0.001127, 0.015165, 0.000348, 
20, 0.001494, 0.018350, 0.000463, 
20, 0.001930, 0.021838, 0.000599, 
20, 0.002443, 0.025630, 0.000760, 
20, 0.003038, 0.029725, 0.000945, 
20, 0.003720, 0.034124, 0.001159, 
20, 0.004497, 0.038826, 0.001401, 
20, 0.005373, 0.043832, 0.001675, 
20, 0.006356, 0.049142, 0.001982, 
20, 0.007451, 0.054755, 0.002324, 
20, 0.008665, 0.060672, 0.002703, 
20, 0.010002, 0.066894, 0.003121, 
20, 0.011471, 0.073419, 0.003579, 
20, 0.013076, 0.080249, 0.004080, 
20, 0.014823, 0.087382, 0.004626, 
20, 0.016720, 0.094821, 0.005218, 
20, 0.018771, 0.102564, 0.005857, 
20, 0.020983, 0.110612, 0.006547, 
20, 0.023363, 0.118966, 0.007289, 
20, 0.025915, 0.127624, 0.008085, 
20, 0.028647, 0.136589, 0.008936, 
20, 0.031564, 0.145859, 0.009845, 
20, 0.034673, 0.155436, 0.010813, 
20, 0.037979, 0.165319, 0.011842, 
20, 0.041489, 0.175510, 0.012934, 
20, 0.045210, 0.186008, 0.014090, 
20, 0.049146, 0.196814, 0.015314, 
20, 0.053304, 0.207929, 0.016605, 
20, 0.057692, 0.219352, 0.017967, 
20, 0.062313, 0.231086, 0.019401, 
20, 0.067176, 0.243130, 0.020908, 
20, 0.072286, 0.255486, 0.022490, 
20, 0.077649, 0.268154, 0.024150, 
20, 0.083271, 0.281134, 0.025889, 
20, 0.089160, 0.294429, 0.027708, 
20, 0.095321, 0.308040, 0.029609, 
20, 0.101760, 0.321966, 0.031594, 
20, 0.108484, 0.336211, 0.033664, 
20, 0.115500, 0.350774, 0.035822, 
20, 0.122813, 0.365659, 0.038068, 
20, 0.130430, 0.380865, 0.040403, 
20, 0.138358, 0.396396, 0.042831, 
20, 0.146603, 0.412254, 0.045352, 
20, 0.155172, 0.428439, 0.047966, 
20, 0.164071, 0.444955, 0.050677, 
20, 0.173307, 0.461805, 0.053485, 
20, 0.182887, 0.478990, 0.056391, 
20, 0.192817, 0.496514, 0.059397, 
20, 0.203105, 0.514379, 0.062503, 
20, 0.213757, 0.532590, 0.065711, 
20, 0.224780, 0.551150, 0.069022, 
20, 0.236181, 0.570062, 0.072436, 
20, 0.247967, 0.589330, 0.075955, 
20, 0.260147, 0.608959, 0.079579, 
20, 0.272726, 0.628954, 0.083310, 
20, 0.285712, 0.649319, 0.087147, 
20, 0.299113, 0.670061, 0.091091, 
20, 0.312937, 0.691183, 0.095142, 
20, 0.327191, 0.712693, 0.099301, 
20, 0.341883, 0.734596, 0.103568, 
20, 0.357021, 0.756899, 0.107942, 
20, 0.372613, 0.779610, 0.112424, 
20, 0.388668, 0.802735, 0.117014, 
20, 0.405193, 0.826282, 0.121710, 
20, 0.422198, 0.850260, 0.126513, 
20, 0.439692, 0.874677, 0.131421, 
20, 0.457683, 0.899542, 0.136434, 
20, 0.476180, 0.924864, 0.141550, 
20, 0.495193, 0.950653, 0.146769, 
20, 0.514732, 0.976920, 0.152088, 
20, 0.534805, 1.003674, 0.157506, 
20, 0.555424, 1.030928, 0.163021, 
20, 0.576597, 1.058691, 0.168631, 
20, 0.598337, 1.086976, 0.174334, 
20, 0.620653, 1.115795, 0.180126, 
20, 0.643556, 1.145161, 0.186005, 
20, 0.667058, 1.175085, 0.191968, 
20, 0.691169, 1.205582, 0.198012, 
20, 0.715903, 1.236664, 0.204132, 
20, 0.741270, 1.268344, 0.210325, 
20, 0.767282, 1.300638, 0.216587, 
20, 0.793954, 1.333558, 0.222913, 
20, 0.821296, 1.367119, 0.229299, 
20, 0.849323, 1.401334, 0.235740, 
20, 0.878047, 1.436219, 0.242229, 
